gid,bld_id,ppty_use,ppty_id,businame,busitype,busiprod,ppty_plt_n,ppty_strn,ppty_addy,busireg_st,busi_regno,busi_inc_y,staf_str,contact,tax_appli,tin_status,tin_no,lt_pd_year,lt_amt_pd,x,y
1,828,COMMERCIAL,C100000001,AG SUPERMARKET,MEDIUM,GORCERCY,487,OKOKO ROAD,487 OKOKO ROAD,REGISTERED,100,5/15/2010,2,08099912,VAT,YES,1109367,4/25/2016,150000,3.175274,6.480922
2,830,COMMERCIAL,C100000002,JUMA STORE,MEDIUM,HEALTHCARE,1001,OJO ROAD,1001 OJO ROAD,REGISTERED,120,5/15/2010,4,08099913,VAT,YES,1109368,7/1/2010,150000,3.188134,6.472055
3,2982,INSTITUTIONAL,I100000001,,MEDIUM,EDUCATION,,,,REGISTERD,12300,18991230,15,,EDUCATIONAL,YES,1109368,,100000,3.182847,6.481708
4,2983,INSTITUTIONAL,I100000002,,MEDIUM,EDUCATION,,,,REGISTERD,12301,18991230,15,,EDUCATIONAL,YES,1109369,,100000,3.182999,6.481556
5,2984,INSTITUTIONAL,I100000003,,MEDIUM,EDUCATION,,,,REGISTERD,12302,18991230,15,,EDUCATIONAL,YES,1109370,,100000,3.183129,6.481666
6,2985,INSTITUTIONAL,I100000004,,MEDIUM,EDUCATION,,,,REGISTERD,12303,18991230,15,,EDUCATIONAL,YES,1109371,,100000,3.183426,6.481521
7,2986,INSTITUTIONAL,I100000005,,MEDIUM,EDUCATION,,,,REGISTERD,12304,18991230,15,,EDUCATIONAL,YES,1109372,,100000,3.183618,6.481537
8,2987,INSTITUTIONAL,I100000006,,MEDIUM,EDUCATION,,,,REGISTERD,12305,18991230,15,,EDUCATIONAL,YES,1109373,,100000,3.183376,6.481215
9,2988,INSTITUTIONAL,I100000007,,MEDIUM,EDUCATION,,,,REGISTERD,12306,18991230,15,,EDUCATIONAL,YES,1109374,,100000,3.183295,6.481166
10,2989,INSTITUTIONAL,I100000008,,MEDIUM,EDUCATION,,,,REGISTERD,12307,18991230,15,,EDUCATIONAL,YES,1109375,,100000,3.183181,6.481246
11,2990,INSTITUTIONAL,I100000009,,MEDIUM,EDUCATION,,,,REGISTERD,12308,18991230,15,,EDUCATIONAL,YES,1109376,,100000,3.183251,6.481323
12,2991,INSTITUTIONAL,I100000010,,MEDIUM,EDUCATION,,,,REGISTERD,12309,18991230,15,,EDUCATIONAL,YES,1109377,,100000,3.183140,6.481437
13,2992,INSTITUTIONAL,I100000011,,MEDIUM,EDUCATION,,,,REGISTERD,12310,18991230,15,,EDUCATIONAL,YES,1109378,,100000,3.183037,6.481367
14,2993,INSTITUTIONAL,I100000012,,MEDIUM,EDUCATION,,,,REGISTERD,12311,18991230,15,,EDUCATIONAL,YES,1109379,,100000,3.182963,6.481180
15,2994,INSTITUTIONAL,I100000013,,MEDIUM,EDUCATION,,,,REGISTERD,12312,18991230,15,,EDUCATIONAL,YES,1109380,,100000,3.182873,6.481196
16,2995,INSTITUTIONAL,I100000014,,MEDIUM,EDUCATION,,,,REGISTERD,12313,18991230,15,,EDUCATIONAL,YES,1109381,,100000,3.181816,6.481753
17,2996,INSTITUTIONAL,I100000015,,MEDIUM,EDUCATION,,,,REGISTERD,12314,18991230,15,,EDUCATIONAL,YES,1109382,,100000,3.181907,6.481823
18,2997,INSTITUTIONAL,I100000016,,MEDIUM,EDUCATION,,,,REGISTERD,12315,18991230,15,,EDUCATIONAL,YES,1109383,,100000,3.182288,6.482141
19,2998,INSTITUTIONAL,I100000017,,MEDIUM,EDUCATION,,,,REGISTERD,12316,18991230,15,,EDUCATIONAL,YES,1109384,,100000,3.182229,6.482257
20,2999,INSTITUTIONAL,I100000018,,MEDIUM,EDUCATION,,,,REGISTERD,12317,18991230,15,,EDUCATIONAL,YES,1109385,,100000,3.182349,6.482086
21,3000,INSTITUTIONAL,I100000019,,MEDIUM,EDUCATION,,,,REGISTERD,12318,18991230,15,,EDUCATIONAL,YES,1109386,,100000,3.182433,6.481967
22,3001,INSTITUTIONAL,I100000020,,MEDIUM,EDUCATION,,,,REGISTERD,12319,18991230,15,,EDUCATIONAL,YES,1109387,,100000,3.182596,6.482156
23,3002,INSTITUTIONAL,I100000021,,MEDIUM,EDUCATION,,,,REGISTERD,12320,18991230,15,,EDUCATIONAL,YES,1109388,,100000,3.182785,6.482036
24,3003,INSTITUTIONAL,I100000022,,MEDIUM,EDUCATION,,,,REGISTERD,12321,18991230,15,,EDUCATIONAL,YES,1109389,,100000,3.182776,6.481841
25,3004,INSTITUTIONAL,I100000023,,MEDIUM,EDUCATION,,,,REGISTERD,12322,18991230,15,,EDUCATIONAL,YES,1109390,,100000,3.185755,6.482587
26,3005,INSTITUTIONAL,I100000024,,MEDIUM,EDUCATION,,,,REGISTERD,12323,18991230,15,,EDUCATIONAL,YES,1109391,,100000,3.186856,6.482441
27,3006,INSTITUTIONAL,I100000025,,MEDIUM,EDUCATION,,,,REGISTERD,12324,18991230,15,,EDUCATIONAL,YES,1109392,,100000,3.187419,6.482418
28,3007,INSTITUTIONAL,I100000026,,MEDIUM,EDUCATION,,,,REGISTERD,12325,18991230,15,,EDUCATIONAL,YES,1109393,,100000,3.187498,6.482660
29,3008,INSTITUTIONAL,I100000027,,MEDIUM,EDUCATION,,,,REGISTERD,12326,18991230,15,,EDUCATIONAL,YES,1109394,,100000,3.187400,6.482677
30,3009,INSTITUTIONAL,I100000028,,MEDIUM,EDUCATION,,,,REGISTERD,12327,18991230,15,,EDUCATIONAL,YES,1109395,,100000,3.186693,6.482715
31,3010,INSTITUTIONAL,I100000029,,MEDIUM,EDUCATION,,,,REGISTERD,12328,18991230,15,,EDUCATIONAL,YES,1109396,,100000,3.186813,6.482714
32,3011,INSTITUTIONAL,I100000030,,MEDIUM,EDUCATION,,,,REGISTERD,12329,18991230,15,,EDUCATIONAL,YES,1109397,,100000,3.186486,6.482599
33,3012,INSTITUTIONAL,I100000031,,MEDIUM,EDUCATION,,,,REGISTERD,12330,18991230,15,,EDUCATIONAL,YES,1109398,,100000,3.186530,6.482818
34,3013,INSTITUTIONAL,I100000032,,MEDIUM,EDUCATION,,,,REGISTERD,12331,18991230,15,,EDUCATIONAL,YES,1109399,,100000,3.187122,6.482445
35,3014,INSTITUTIONAL,I100000033,,MEDIUM,EDUCATION,,,,REGISTERD,12332,18991230,15,,EDUCATIONAL,YES,1109400,,100000,3.187336,6.482852
36,3015,INSTITUTIONAL,I100000034,,MEDIUM,EDUCATION,,,,REGISTERD,12333,18991230,15,,EDUCATIONAL,YES,1109401,,100000,3.187188,6.482859
37,3016,INSTITUTIONAL,I100000035,,MEDIUM,EDUCATION,,,,REGISTERD,12334,18991230,15,,EDUCATIONAL,YES,1109402,,100000,3.186197,6.482512
38,3017,INSTITUTIONAL,I100000036,,MEDIUM,EDUCATION,,,,REGISTERD,12335,18991230,15,,EDUCATIONAL,YES,1109403,,100000,3.186315,6.482756
39,3018,INSTITUTIONAL,I100000037,,MEDIUM,EDUCATION,,,,REGISTERD,12336,18991230,15,,EDUCATIONAL,YES,1109404,,100000,3.186964,6.482742
